Date,Open,High,Low,Close,Adj Close,Volume
2023-12-30,73.401978,74.007294,72.641197,73.312737,73.312737,311515246
2023-12-31,73.305855,74.162262,72.440132,72.798439,72.798439,286836101
2024-01-01,72.913292,74.731926,72.252098,74.731926,74.731926,255667692
2024-01-02,74.729744,75.808220,72.701019,72.984077,72.984077,386648433
2024-01-03,72.985168,73.573273,63.047882,65.301643,65.301643,759247166
2024-01-04,65.301285,66.959320,64.819405,66.491394,66.491394,396941206
2024-01-05,66.488365,66.748772,64.619690,66.021149,66.021149,417630277
2024-01-06,66.024986,66.105186,63.635895,65.676079,65.676079,285283013
2024-01-07,65.678177,66.297729,63.962063,64.257469,64.257469,259336849
2024-01-08,64.254425,68.301544,61.708389,67.806549,67.806549,504603252
2024-01-09,67.812973,67.835304,64.871216,66.949287,66.949287,474216123
2024-01-10,66.953270,71.036385,65.406410,69.890137,69.890137,530257325
2024-01-11,69.918015,74.510880,69.735077,71.984474,71.984474,680917400
2024-01-12,71.975418,76.847626,70.681259,72.900215,72.900215,933230770
2024-01-13,72.893471,73.484695,71.104477,71.987511,71.987511,405367417
2024-01-14,71.985992,72.235588,69.694969,69.815598,69.815598,338194628
2024-01-15,69.796051,71.528847,69.051437,69.255615,69.255615,303171541
2024-01-16,69.225204,70.407028,68.601913,69.474655,69.474655,333674337
2024-01-17,69.464996,69.875740,68.590050,69.386147,69.386147,287190583
2024-01-18,69.387436,70.236847,66.610962,67.992676,67.992676,414154847
2024-01-19,67.994881,71.419266,67.123352,71.184181,71.184181,403881358
2024-01-20,71.185715,72.674866,70.609535,71.297417,71.297417,353477650
2024-01-21,71.299355,72.148636,70.546265,71.600082,71.600082,231236531
2024-01-22,71.614716,72.544601,66.912170,67.288277,67.288277,458158615
2024-01-23,67.288940,68.318596,63.261303,65.449432,65.449432,408856695
2024-01-24,65.452240,66.294586,64.906517,66.140167,66.140167,276316216
2024-01-25,66.140495,66.140495,64.663963,65.498993,65.498993,234636079
2024-01-26,65.498344,67.502678,65.239349,67.034065,67.034065,248070449
2024-01-27,67.035583,68.282333,66.421394,68.084564,68.084564,211372666
2024-01-28,68.078758,68.443588,67.407852,68.397507,68.397507,238275365
2024-01-29,68.391548,68.706993,66.922470,68.453011,68.453011,276494459
2024-01-30,68.453011,68.641647,67.290657,67.512024,67.512024,238389131
2024-01-31,67.516197,69.796165,66.265160,66.753044,66.753044,348867643
2024-02-01,66.750572,68.074562,65.803146,67.516586,67.516586,232108384
2024-02-02,67.516792,68.341827,67.412590,68.003517,68.003517,203602294
2024-02-03,68.003433,69.084076,67.915031,68.836838,68.836838,187461706
